chembl_id,canonical_smiles,chemical_formula,ic50_nM,pIC50,assay_description,target_name
CHEMBL3085434,Cc1cc(N(C)C)ccc1-c1nc2c(s1)[C@@H](O)CCC2,C16H20N2OS,560.0,6.25,Cytotoxicity against human HCT116-D8 securin -/- cells after 2 days by sulforhodamine B assay,HCT-116
CHEMBL1171519,Cc1cc(N(C)C)ccc1-c1nc2c(s1)[C@H](O)CCC2,C16H20N2OS,270.0,6.57,Cytotoxicity against human HCT116-D8 securin -/- cells after 2 days by sulforhodamine B assay,HCT-116
CHEMBL1172514,OC1CCCc2nc(-c3ccc(N4CCCC4)cc3)sc21,C17H20N2OS,1530.0,5.82,Cytotoxicity against human HCT116-D8 securin -/- cells after 2 days by sulforhodamine B assay,HCT-116
CHEMBL1172517,CN(C)c1ccc(-c2nc3c(s2)C(O)CNC3)cc1,C14H17N3OS,1330.0,5.88,Cytotoxicity against human HCT116-D8 securin -/- cells after 2 days by sulforhodamine B assay,HCT-116
CHEMBL1169797,OC1CNCc2nc(-c3ccc(N4CCCC4)cc3)sc21,C16H19N3OS,730.0,6.14,Cytotoxicity against human HCT116-D8 securin -/- cells after 2 days by sulforhodamine B assay,HCT-116
CHEMBL1171229,CN(C)c1ccc(-c2nc3c(s2)C(O)CCC3)cc1,C15H18N2OS,150000.0,,Cytotoxicity against human MCF10A cells after 2 days by sulforhodamine B assay,MCF-10A
CHEMBL1171230,CN(C)c1ccc(-c2nc3c(s2)[C@H](O)CCC3)cc1,C15H18N2OS,100000.0,,Cytotoxicity against human MCF10A cells after 2 days by sulforhodamine B assay,MCF-10A
CHEMBL1171231,CN(C)c1ccc(-c2nc3c(s2)[C@@H](O)CCC3)cc1,C15H18N2OS,100000.0,,Cytotoxicity against human MCF10A cells after 2 days by sulforhodamine B assay,MCF-10A
CHEMBL3085434,Cc1cc(N(C)C)ccc1-c1nc2c(s1)[C@@H](O)CCC2,C16H20N2OS,100000.0,,Cytotoxicity against human MCF10A cells after 2 days by sulforhodamine B assay,MCF-10A
CHEMBL1171519,Cc1cc(N(C)C)ccc1-c1nc2c(s1)[C@H](O)CCC2,C16H20N2OS,100000.0,,Cytotoxicity against human MCF10A cells after 2 days by sulforhodamine B assay,MCF-10A
CHEMBL1172514,OC1CCCc2nc(-c3ccc(N4CCCC4)cc3)sc21,C17H20N2OS,100000.0,,Cytotoxicity against human MCF10A cells after 2 days by sulforhodamine B assay,MCF-10A
CHEMBL1172517,CN(C)c1ccc(-c2nc3c(s2)C(O)CNC3)cc1,C14H17N3OS,70200.0,4.15,Cytotoxicity against human MCF10A cells after 2 days by sulforhodamine B assay,MCF-10A
CHEMBL1169797,OC1CNCc2nc(-c3ccc(N4CCCC4)cc3)sc21,C16H19N3OS,27800.0,4.56,Cytotoxicity against human MCF10A cells after 2 days by sulforhodamine B assay,MCF-10A
CHEMBL1171229,CN(C)c1ccc(-c2nc3c(s2)C(O)CCC3)cc1,C15H18N2OS,1170.0,5.93,Cytotoxicity against human MCF7 cells after 2 days by sulforhodamine B assay,MCF7
CHEMBL1171230,CN(C)c1ccc(-c2nc3c(s2)[C@H](O)CCC3)cc1,C15H18N2OS,1450.0,5.84,Cytotoxicity against human MCF7 cells after 2 days by sulforhodamine B assay,MCF7
CHEMBL1171231,CN(C)c1ccc(-c2nc3c(s2)[C@@H](O)CCC3)cc1,C15H18N2OS,3300.0,5.48,Cytotoxicity against human MCF7 cells after 2 days by sulforhodamine B assay,MCF7
CHEMBL3085434,Cc1cc(N(C)C)ccc1-c1nc2c(s1)[C@@H](O)CCC2,C16H20N2OS,2150.0,5.67,Cytotoxicity against human MCF7 cells after 2 days by sulforhodamine B assay,MCF7
CHEMBL1171519,Cc1cc(N(C)C)ccc1-c1nc2c(s1)[C@H](O)CCC2,C16H20N2OS,730.0,6.14,Cytotoxicity against human MCF7 cells after 2 days by sulforhodamine B assay,MCF7
