chembl_id,canonical_smiles,chemical_formula,ic50_nM,pIC50,assay_description,target_name,inchi,inchi_key
CHEMBL94699,,C20H14ClN5O3PtS+3,5500.0,5.26,50% Growth inhibition on HNO97 head and neck squamous carcinoma cell lines,HNO 97 cell line,,
CHEMBL98681,,C10H22Cl4N4Pt2,15000.0,4.82,Cytotoxic potency against human HeLa cell line expressed as inhibitory concentration,HeLa,,
CHEMBL98681,,C10H22Cl4N4Pt2,20000.0,4.7,Cytotoxic potency against human HSC-3 cell line expressed as inhibitory concentration,HSC-3,,
CHEMBL98681,,C10H22Cl4N4Pt2,35000.0,4.46,Cytotoxic potency against human THP-1 cell line expressed as inhibitory concentration,THP-1,,
CHEMBL98681,,C10H22Cl4N4Pt2,37000.0,4.43,Cytotoxic potency against human MOLT-3 cell line expressed as inhibitory concentration,MOLT-3,,
CHEMBL98681,,C10H22Cl4N4Pt2,30000.0,4.52,Cytotoxic potency against human CCRF-CEM cell line expressed as inhibitory concentration,CCRF-CEM,,
CHEMBL98681,,C10H22Cl4N4Pt2,145000.0,,Cytotoxic potency against human L-132 cell line expressed as inhibitory concentration,L132,,
CHEMBL611448,,C14H44Cl12N6Pt3,20000.0,4.7,Cytotoxic potency against human HeLa cell line expressed as inhibitory concentration,HeLa,,
CHEMBL611448,,C14H44Cl12N6Pt3,96000.0,4.02,Cytotoxic potency against human HSC-3 cell line expressed as inhibitory concentration,HSC-3,,
CHEMBL611448,,C14H44Cl12N6Pt3,130000.0,,Cytotoxic potency against human THP-1 cell line expressed as inhibitory concentration,THP-1,,
CHEMBL611448,,C14H44Cl12N6Pt3,128000.0,,Cytotoxic potency against human MOLT-3 cell line expressed as inhibitory concentration,MOLT-3,,
CHEMBL611448,,C14H44Cl12N6Pt3,125000.0,,Cytotoxic potency against human CCRF-CEM cell line expressed as inhibitory concentration,CCRF-CEM,,
CHEMBL611448,,C14H44Cl12N6Pt3,100000.0,4.0,Cytotoxic potency against human L-132 cell line expressed as inhibitory concentration,L132,,
CHEMBL11359,,H6Cl2N2Pt+2,2000.0,5.7,Cytotoxic potency against human HeLa cell line expressed as inhibitory concentration,HeLa,,
CHEMBL11359,,H6Cl2N2Pt+2,7000.0,5.16,Cytotoxic potency against human HSC-3 cell line expressed as inhibitory concentration,HSC-3,,
CHEMBL11359,,H6Cl2N2Pt+2,2000.0,5.7,Cytotoxic potency against human THP-1 cell line expressed as inhibitory concentration,THP-1,,
CHEMBL11359,,H6Cl2N2Pt+2,4000.0,5.4,Cytotoxic potency against human MOLT-3 cell line expressed as inhibitory concentration,MOLT-3,,
CHEMBL11359,,H6Cl2N2Pt+2,1000.0,6.0,Cytotoxic potency against human CCRF-CEM cell line expressed as inhibitory concentration,CCRF-CEM,,
CHEMBL11359,,H6Cl2N2Pt+2,2000.0,5.7,Cytotoxic potency against human L-132 cell line expressed as inhibitory concentration,L132,,
CHEMBL611447,,C15H42Cl8N6Pt3+4,13000.0,4.89,Cytotoxic potency against human HeLa cell line expressed as inhibitory concentration,HeLa,,
CHEMBL611447,,C15H42Cl8N6Pt3+4,20000.0,4.7,Cytotoxic potency against human HSC-3 cell line expressed as inhibitory concentration,HSC-3,,
CHEMBL611447,,C15H42Cl8N6Pt3+4,97000.0,4.01,Cytotoxic potency against human THP-1 cell line expressed as inhibitory concentration,THP-1,,
CHEMBL611447,,C15H42Cl8N6Pt3+4,90000.0,4.05,Cytotoxic potency against human MOLT-3 cell line expressed as inhibitory concentration,MOLT-3,,
CHEMBL611447,,C15H42Cl8N6Pt3+4,83000.0,4.08,Cytotoxic potency against human CCRF-CEM cell line expressed as inhibitory concentration,CCRF-CEM,,
CHEMBL611447,,C15H42Cl8N6Pt3+4,104000.0,,Cytotoxic potency against human L-132 cell line expressed as inhibitory concentration,L132,,
CHEMBL611446,,C8H22Cl6N6Pt3,62000.0,4.21,Cytotoxic potency against human HeLa cell line expressed as inhibitory concentration,HeLa,,
CHEMBL611446,,C8H22Cl6N6Pt3,14000.0,4.85,Cytotoxic potency against human THP-1 cell line expressed as inhibitory concentration,THP-1,,
CHEMBL611446,,C8H22Cl6N6Pt3,18000.0,4.75,Cytotoxic potency against human MOLT-3 cell line expressed as inhibitory concentration,MOLT-3,,
CHEMBL611446,,C8H22Cl6N6Pt3,135000.0,,Cytotoxic potency against human L-132 cell line expressed as inhibitory concentration,L132,,
CHEMBL98680,,C14H32Cl6N6Pt3,5000.0,5.3,Cytotoxic potency against human HeLa cell line expressed as inhibitory concentration,HeLa,,
CHEMBL98680,,C14H32Cl6N6Pt3,11000.0,4.96,Cytotoxic potency against human HSC-3 cell line expressed as inhibitory concentration,HSC-3,,
CHEMBL98680,,C14H32Cl6N6Pt3,30000.0,4.52,Cytotoxic potency against human THP-1 cell line expressed as inhibitory concentration,THP-1,,
CHEMBL98680,,C14H32Cl6N6Pt3,50000.0,4.3,Cytotoxic potency against human MOLT-3 cell line expressed as inhibitory concentration,MOLT-3,,
CHEMBL98680,,C14H32Cl6N6Pt3,78000.0,4.11,Cytotoxic potency against human CCRF-CEM cell line expressed as inhibitory concentration,CCRF-CEM,,
CHEMBL98680,,C14H32Cl6N6Pt3,120000.0,,Cytotoxic potency against human L-132 cell line expressed as inhibitory concentration,L132,,
CHEMBL611190,,C14H38Cl6N6Pt3+4,45000.0,4.35,Cytotoxic potency against human HeLa cell line expressed as inhibitory concentration,HeLa,,
CHEMBL611190,,C14H38Cl6N6Pt3+4,10000.0,5.0,Cytotoxic potency against human THP-1 cell line expressed as inhibitory concentration,THP-1,,
CHEMBL611190,,C14H38Cl6N6Pt3+4,6000.0,5.22,Cytotoxic potency against human MOLT-3 cell line expressed as inhibitory concentration,MOLT-3,,
CHEMBL611190,,C14H38Cl6N6Pt3+4,50000.0,4.3,Cytotoxic potency against human L-132 cell line expressed as inhibitory concentration,L132,,
CHEMBL611189,,C12H34Cl6N6Pt3+4,137000.0,,Cytotoxic potency against human HeLa cell line expressed as inhibitory concentration,HeLa,,
CHEMBL611189,,C12H34Cl6N6Pt3+4,12000.0,4.92,Cytotoxic potency against human THP-1 cell line expressed as inhibitory concentration,THP-1,,
CHEMBL611189,,C12H34Cl6N6Pt3+4,15000.0,4.82,Cytotoxic potency against human MOLT-3 cell line expressed as inhibitory concentration,MOLT-3,,
CHEMBL611189,,C12H34Cl6N6Pt3+4,83000.0,4.08,Cytotoxic potency against human L-132 cell line expressed as inhibitory concentration,L132,,
CHEMBL1351,,C6H12N2O4Pt,3000.0,5.52,Cytotoxic potency against human HSC-3 cell line expressed as inhibitory concentration,HSC-3,,
CHEMBL11359,,H6Cl2N2Pt+2,3970.0,5.4,In vitro cytotoxic activity against growth of human breast carcinoma cell line (MCF-7-S) after 72 hr,MCF7S,,
CHEMBL11359,,H6Cl2N2Pt+2,3530.0,5.45,In vitro cytotoxic activity against growth of MDR phenotype human breast carcinoma cell line (MCF-7-R) after 72 hr,MCF7R,,
CHEMBL11359,,H6Cl2N2Pt+2,300.0,6.52,The compound was tested for cytotoxic potency against A2780 human tumor cell lines.,A2780,,
CHEMBL11359,,H6Cl2N2Pt+2,3300.0,5.48,The compound was tested for cytotoxic potency against A2780R human tumor cell lines.,A2780,,
CHEMBL11359,,H6Cl2N2Pt+2,100.0,7.0,The compound was tested for cytotoxic potency against CH1 human tumor cell lines.,CH1,,
CHEMBL11359,,H6Cl2N2Pt+2,4400.0,5.36,The compound was tested for cytotoxic potency against SKOV-3 human tumor cell lines.,SK-OV-3,,
CHEMBL11359,,H6Cl2N2Pt+2,1400.0,5.85,In vitro cytotoxicity was determined by using cultures of human lung (PC9) cancer cells by MTT assay,PC-9,,
CHEMBL11359,,H6Cl2N2Pt+2,11700.0,4.93,In vitro cytotoxicity was determined by using cultures of human resistant lung (PC9cisR) cancer cells by MTT assay,PC-9,,
CHEMBL11359,,H6Cl2N2Pt+2,1800.0,5.75,In vitro cytotoxicity was determined by using cultures of human prostate (DU145) cancer cells by MTT assay,DU-145,,
CHEMBL11359,,H6Cl2N2Pt+2,5000.0,5.3,In vitro cytotoxicity was determined by using cultures of human lung (PC9) cancer cells by SRB assay,PC-9,,
CHEMBL11359,,H6Cl2N2Pt+2,17500.0,,In vitro cytotoxicity was determined by using cultures of human resistant lung (PC9cisR) cancer cells by SRB assay,PC-9,,
CHEMBL11359,,H6Cl2N2Pt+2,1000.0,6.0,In vitro cytotoxicity was determined by using cultures of human prostate (DU145) cancer cells by SRB assay,DU-145,,
CHEMBL2068331,,C6H12Cl2N2Pt,5900.0,5.23,In vitro cytotoxicity was determined by using cultures of human lung (PC9) cancer cells by MTT assay,PC-9,,
CHEMBL2068331,,C6H12Cl2N2Pt,16000.0,4.8,In vitro cytotoxicity was determined by using cultures of human resistant lung (PC9cisR) cancer cells by MTT assay,PC-9,,
CHEMBL2068331,,C6H12Cl2N2Pt,2900.0,5.54,In vitro cytotoxicity was determined by using cultures of human prostate (DU145) cancer cells by MTT assay,DU-145,,
CHEMBL2068331,,C6H12Cl2N2Pt,11000.0,4.96,In vitro cytotoxicity was determined by using cultures of human lung (PC9) cancer cells by SRB assay,PC-9,,
CHEMBL2068331,,C6H12Cl2N2Pt,27300.0,4.56,In vitro cytotoxicity was determined by using cultures of human resistant lung (PC9cisR) cancer cells by SRB assay,PC-9,,
CHEMBL2068331,,C6H12Cl2N2Pt,3300.0,5.48,In vitro cytotoxicity was determined by using cultures of human prostate (DU145) cancer cells by SRB assay,DU-145,,
CHEMBL2068330,,C6H12Cl2N2Pt,3000.0,5.52,In vitro cytotoxicity was determined by using cultures of human lung (PC9) cancer cells by MTT assay,PC-9,,
CHEMBL2068330,,C6H12Cl2N2Pt,15500.0,4.81,In vitro cytotoxicity was determined by using cultures of human resistant lung (PC9cisR) cancer cells by MTT assay,PC-9,,
CHEMBL2068330,,C6H12Cl2N2Pt,3400.0,5.47,In vitro cytotoxicity was determined by using cultures of human prostate (DU145) cancer cells by MTT assay,DU-145,,
CHEMBL2068330,,C6H12Cl2N2Pt,11700.0,4.93,In vitro cytotoxicity was determined by using cultures of human lung (PC9) cancer cells by SRB assay,PC-9,,
CHEMBL2068330,,C6H12Cl2N2Pt,25000.0,4.6,In vitro cytotoxicity was determined by using cultures of human resistant lung (PC9cisR) cancer cells by SRB assay,PC-9,,
CHEMBL2068330,,C6H12Cl2N2Pt,3700.0,5.43,In vitro cytotoxicity was determined by using cultures of human prostate (DU145) cancer cells by SRB assay,DU-145,,
CHEMBL611449,,C20H29ClN6PtS+2,10.0,8.0,Clonogenic survival activity against human leukemia (HL-60) cells; 0.01-10 range,HL-60,,
CHEMBL611449,,C20H29ClN6PtS+2,10.0,8.0,"Clonogenic survival activity against human ovarian cancer cells (2008, C13*) cells; 0.01-10 range",Ovarian cancer cell line,,
CHEMBL11359,,H6Cl2N2Pt+2,450.0,6.35,"Cytotoxicity against A2780-WT, human ovarian carcinoma cell line",A2780,,
CHEMBL11359,,H6Cl2N2Pt+2,280.0,6.55,"Cytotoxicity against A2780-DX5, Doxorubicin-resistant Ovarian carcinoma cell line",A2780,,
