chembl_id,canonical_smiles,chemical_formula,ic50_nM,pIC50,assay_description,target_name,inchi,inchi_key
CHEMBL347085,,C12H14AuNO4+,16000.0,4.8,Compound was tested for in vitro growth inhibition of Ovarian carcinoma cell line panel A2780-R,A2780,,
CHEMBL11359,,H6Cl2N2Pt+2,11900.0,4.92,Growth inhibitory activity against COLO-320-DM human colon cancer cell line,COLO 320DM,,
CHEMBL11359,,H6Cl2N2Pt+2,54150.0,4.27,Growth inhibitory activity against SK-Hep1 human liver cancer cell line,SK-HEP1,,
CHEMBL11359,,H6Cl2N2Pt+2,65740.0,4.18,Growth inhibitory activity against MDA-MB-231 human breast cancer cell line,MDA-MB-231,,
CHEMBL11359,,H6Cl2N2Pt+2,11320.0,4.95,Growth inhibitory activity against NCI-H460 human lung cancer cell line,NCI-H460,,
CHEMBL11359,,H6Cl2N2Pt+2,15160.0,4.82,Growth inhibitory activity against SK-OV-3 human ovarian cancer cell line,SK-OV-3,,
CHEMBL11359,,H6Cl2N2Pt+2,190.0,6.72,Growth inhibitory activity against NTERA-S-cl-D1 human testicular cancer cell line,NTERA-2-cl-D1,,
CHEMBL11359,,H6Cl2N2Pt+2,590.0,6.23,Cytotoxicity against NCI-H460-sensitive Human Nonsmall Cell Lung Cancer cell line assessed by MTT assay after 96 hr of compound exposure,NCI-H460,,
CHEMBL11359,,H6Cl2N2Pt+2,4960.0,5.3,Cytotoxicity against NCI-H460-resistant Human Nonsmall Cell Lung Cancer cell line assessed by MTT assay after 96 hr of compound exposure (resistance level),NCI-H460,,
CHEMBL2068551,,C8H12N2O5Pt,37250.0,4.43,Growth inhibitory activity against COLO-320-DM human colon cancer cell line,COLO 320DM,,
CHEMBL2068551,,C8H12N2O5Pt,20590.0,4.69,Growth inhibitory activity against SK-Hep1 human liver cancer cell line,SK-HEP1,,
CHEMBL2068551,,C8H12N2O5Pt,63800.0,4.2,Growth inhibitory activity against MDA-MB-231 human breast cancer cell line,MDA-MB-231,,
CHEMBL2068551,,C8H12N2O5Pt,21140.0,4.67,Growth inhibitory activity against NCI-H460 human lung cancer cell line,NCI-H460,,
CHEMBL2068551,,C8H12N2O5Pt,40750.0,4.39,Growth inhibitory activity against SK-OV-3 human ovarian cancer cell line,SK-OV-3,,
CHEMBL2068551,,C8H12N2O5Pt,360.0,6.44,Growth inhibitory activity against NTERA-S-cl-D1 human testicular cancer cell line,NTERA-2-cl-D1,,
CHEMBL2068551,,C8H12N2O5Pt,2880.0,5.54,Cytotoxicity against NCI-H460-sensitive Human Nonsmall Cell Lung Cancer cell line assessed by MTT assay after 96 hr of compound exposure,NCI-H460,,
CHEMBL2068551,,C8H12N2O5Pt,10520.0,4.98,Cytotoxicity against NCI-H460-resistant Human Nonsmall Cell Lung Cancer cell line assessed by MTT assay after 96 hr of compound exposure (resistance level),NCI-H460,,
CHEMBL146966,,C11H12AuN3S2+,51000.0,4.29,Compound was tested for in vitro growth inhibition of primary panel tumor cell line SW620,SW-620,,
CHEMBL146966,,C11H12AuN3S2+,47000.0,4.33,Compound was tested for in vitro growth inhibition of primary panel tumor cell line SW1116,SW 1116,,
CHEMBL146966,,C11H12AuN3S2+,34000.0,4.47,Compound was tested for in vitro growth inhibition of primary panel tumor cell line ZR-75-1,ZR-75-1,,
CHEMBL146966,,C11H12AuN3S2+,25000.0,4.6,Compound was tested for in vitro growth inhibition of primary panel tumor cell line HT-29/219,HT-29,,
CHEMBL146966,,C11H12AuN3S2+,6700.0,5.17,Compound was tested for in vitro growth inhibition of primary panel tumor cell line HT1376,HT-1376,,
CHEMBL146966,,C11H12AuN3S2+,20000.0,4.7,Compound was tested for in vitro growth inhibition of primary panel tumor cell line SK-OV-3,SK-OV-3,,
CHEMBL146966,,C11H12AuN3S2+,31000.0,4.51,Compound was tested for in vitro growth inhibition of Ovarian carcinoma cell line panel HX62,HX62 cell line,,
CHEMBL146966,,C11H12AuN3S2+,39000.0,4.41,Compound was tested for in vitro growth inhibition of Ovarian carcinoma cell line panel SK-OV-3,SK-OV-3,,
CHEMBL146966,,C11H12AuN3S2+,10000.0,5.0,Compound was tested for in vitro growth inhibition of Ovarian carcinoma cell line panel CH1,CH1,,
CHEMBL146966,,C11H12AuN3S2+,11000.0,4.96,Compound was tested for in vitro growth inhibition of Ovarian carcinoma cell line panel CH1-R,CH1,,
CHEMBL146966,,C11H12AuN3S2+,2000.0,5.7,Compound was tested for in vitro growth inhibition of Ovarian carcinoma cell line panel A2780,A2780,,
CHEMBL146966,,C11H12AuN3S2+,26000.0,4.58,Compound was tested for in vitro growth inhibition of Ovarian carcinoma cell line panel A2780-R,A2780,,
CHEMBL108133,,C6H22Cl2N6Pt2+2,15300.0,4.82,Cytotoxic activity in a panel of Human ovarian tumor SKOV-3 cell line after 96h of drug exposure,SK-OV-3,,
CHEMBL108133,,C6H22Cl2N6Pt2+2,11000.0,4.96,Cytotoxic activity in a panel of Human ovarian tumor HX/62 cell line after 96h of drug exposure,HX62 cell line,,
CHEMBL108133,,C6H22Cl2N6Pt2+2,66.0,7.18,Cytotoxic activity in a panel of Human ovarian tumor A2780 cell line after 96h of drug exposure,A2780,,
CHEMBL108133,,C6H22Cl2N6Pt2+2,1200.0,5.92,Cytotoxic activity in a panel of Human ovarian tumor A2780/CDDP cell line after 96h of drug exposure,A2780,,
CHEMBL108133,,C6H22Cl2N6Pt2+2,56.0,7.25,Cytotoxic activity in a panel of Human ovarian tumor CH1 cell line after 96h of drug exposure,CH1,,
CHEMBL108133,,C6H22Cl2N6Pt2+2,190.0,6.72,Cytotoxic activity in a panel of Human ovarian tumor CH1/CDDP cell line after 96h of drug exposure,CH1,,
CHEMBL108133,,C6H22Cl2N6Pt2+2,1900.0,5.72,Cytotoxic activity in a panel of Human ovarian tumor 41M cell line after 96h of drug exposure,41M,,
CHEMBL108133,,C6H22Cl2N6Pt2+2,410.0,6.39,Cytotoxic activity in a panel of Human ovarian tumor 41M/CDDP cell line after 96h of drug exposure,41M,,
CHEMBL2068447,,C14H24N2O5Pt,84680.0,4.07,Growth inhibitory activity against COLO-320-DM human colon cancer cell line,COLO 320DM,,
CHEMBL2068447,,C14H24N2O5Pt,17180.0,4.76,Growth inhibitory activity against SK-Hep1 human liver cancer cell line,SK-HEP1,,
CHEMBL2068447,,C14H24N2O5Pt,94450.0,4.03,Growth inhibitory activity against MDA-MB-231 human breast cancer cell line,MDA-MB-231,,
CHEMBL2068447,,C14H24N2O5Pt,26460.0,4.58,Growth inhibitory activity against NCI-H460 human lung cancer cell line,NCI-H460,,
CHEMBL2068447,,C14H24N2O5Pt,77650.0,4.11,Growth inhibitory activity against SK-OV-3 human ovarian cancer cell line,SK-OV-3,,
CHEMBL2068447,,C14H24N2O5Pt,1440.0,5.84,Growth inhibitory activity against NTERA-S-cl-D1 human testicular cancer cell line,NTERA-2-cl-D1,,
CHEMBL2068447,,C14H24N2O5Pt,11760.0,4.93,Cytotoxicity against NCI-H460-sensitive Human Nonsmall Cell Lung Cancer cell line assessed by MTT assay after 96 hr of compound exposure,NCI-H460,,
CHEMBL2068447,,C14H24N2O5Pt,20410.0,4.69,Cytotoxicity against NCI-H460-resistant Human Nonsmall Cell Lung Cancer cell line assessed by MTT assay after 96 hr of compound exposure (resistance level),NCI-H460,,
CHEMBL2068563,,C10H16N2O5Pt,48920.0,4.31,Growth inhibitory activity against COLO-320-DM human colon cancer cell line,COLO 320DM,,
CHEMBL2068563,,C10H16N2O5Pt,15440.0,4.81,Growth inhibitory activity against SK-Hep1 human liver cancer cell line,SK-HEP1,,
CHEMBL2068563,,C10H16N2O5Pt,49430.0,4.31,Growth inhibitory activity against MDA-MB-231 human breast cancer cell line,MDA-MB-231,,
CHEMBL2068563,,C10H16N2O5Pt,3440.0,5.46,Growth inhibitory activity against NCI-H460 human lung cancer cell line,NCI-H460,,
CHEMBL2068563,,C10H16N2O5Pt,37190.0,4.43,Growth inhibitory activity against SK-OV-3 human ovarian cancer cell line,SK-OV-3,,
CHEMBL2068563,,C10H16N2O5Pt,840.0,6.08,Growth inhibitory activity against NTERA-S-cl-D1 human testicular cancer cell line,NTERA-2-cl-D1,,
CHEMBL2068563,,C10H16N2O5Pt,12590.0,4.9,Cytotoxicity against NCI-H460-sensitive Human Nonsmall Cell Lung Cancer cell line assessed by MTT assay after 96 hr of compound exposure,NCI-H460,,
CHEMBL2068563,,C10H16N2O5Pt,23290.0,4.63,Cytotoxicity against NCI-H460-resistant Human Nonsmall Cell Lung Cancer cell line assessed by MTT assay after 96 hr of compound exposure (resistance level),NCI-H460,,
CHEMBL108133,,C6H22Cl2N6Pt2+2,87000.0,4.06,Cytotoxic activity in a panel of Human ovarian tumor SKOV-3 cell line after 96h of drug exposure,SK-OV-3,,
CHEMBL108133,,C6H22Cl2N6Pt2+2,14000.0,4.85,Cytotoxic activity in a panel of Human ovarian tumor HX/62 cell line after 96h of drug exposure,HX62 cell line,,
CHEMBL108133,,C6H22Cl2N6Pt2+2,250.0,6.6,Cytotoxic activity in a panel of Human ovarian tumor A2780 cell line after 96h of drug exposure,A2780,,
CHEMBL108133,,C6H22Cl2N6Pt2+2,4900.0,5.31,Cytotoxic activity in a panel of Human ovarian tumor A2780/CDDP cell line after 96h of drug exposure,A2780,,
CHEMBL108133,,C6H22Cl2N6Pt2+2,1600.0,5.8,Cytotoxic activity in a panel of Human ovarian tumor CH1 cell line after 96h of drug exposure,CH1,,
CHEMBL108133,,C6H22Cl2N6Pt2+2,3200.0,5.5,Cytotoxic activity in a panel of Human ovarian tumor CH1/CDDP cell line after 96h of drug exposure,CH1,,
CHEMBL108133,,C6H22Cl2N6Pt2+2,7400.0,5.13,Cytotoxic activity in a panel of Human ovarian tumor 41M cell line after 96h of drug exposure,41M,,
CHEMBL108133,,C6H22Cl2N6Pt2+2,1800.0,5.75,Cytotoxic activity in a panel of Human ovarian tumor 41M/CDDP cell line after 96h of drug exposure,41M,,
CHEMBL11359,,H6Cl2N2Pt+2,8000.0,5.1,Cytotoxic activity in a panel of Human ovarian tumor SKOV-3 cell line after 96h of drug exposure,SK-OV-3,,
CHEMBL11359,,H6Cl2N2Pt+2,25000.0,4.6,Cytotoxic activity in a panel of Human ovarian tumor HX/62 cell line after 96h of drug exposure,HX62 cell line,,
CHEMBL11359,,H6Cl2N2Pt+2,530.0,6.28,Cytotoxic activity in a panel of Human ovarian tumor A2780 cell line after 96h of drug exposure,A2780,,
CHEMBL11359,,H6Cl2N2Pt+2,6200.0,5.21,Cytotoxic activity in a panel of Human ovarian tumor A2780/CDDP cell line after 96h of drug exposure,A2780,,
CHEMBL11359,,H6Cl2N2Pt+2,180.0,6.75,Cytotoxic activity in a panel of Human ovarian tumor CH1 cell line after 96h of drug exposure,CH1,,
CHEMBL11359,,H6Cl2N2Pt+2,1450.0,5.84,Cytotoxic activity in a panel of Human ovarian tumor CH1/CDDP cell line after 96h of drug exposure,CH1,,
CHEMBL11359,,H6Cl2N2Pt+2,540.0,6.27,Cytotoxic activity in a panel of Human ovarian tumor 41M cell line after 96h of drug exposure,41M,,
CHEMBL11359,,H6Cl2N2Pt+2,1700.0,5.77,Cytotoxic activity in a panel of Human ovarian tumor 41M/CDDP cell line after 96h of drug exposure,41M,,
CHEMBL2068288,,C12H20N2O5Pt,48460.0,4.32,Growth inhibitory activity against COLO-320-DM human colon cancer cell line,COLO 320DM,,
CHEMBL2068288,,C12H20N2O5Pt,19990.0,4.7,Growth inhibitory activity against SK-Hep1 human liver cancer cell line,SK-HEP1,,
CHEMBL2068288,,C12H20N2O5Pt,62530.0,4.2,Growth inhibitory activity against MDA-MB-231 human breast cancer cell line,MDA-MB-231,,
CHEMBL2068288,,C12H20N2O5Pt,3910.0,5.41,Growth inhibitory activity against NCI-H460 human lung cancer cell line,NCI-H460,,
CHEMBL2068288,,C12H20N2O5Pt,62610.0,4.2,Growth inhibitory activity against SK-OV-3 human ovarian cancer cell line,SK-OV-3,,
CHEMBL2068288,,C12H20N2O5Pt,600.0,6.22,Growth inhibitory activity against NTERA-S-cl-D1 human testicular cancer cell line,NTERA-2-cl-D1,,
CHEMBL2068288,,C12H20N2O5Pt,9430.0,5.03,Cytotoxicity against NCI-H460-sensitive Human Nonsmall Cell Lung Cancer cell line assessed by MTT assay after 96 hr of compound exposure,NCI-H460,,
CHEMBL2068288,,C12H20N2O5Pt,16690.0,4.78,Cytotoxicity against NCI-H460-resistant Human Nonsmall Cell Lung Cancer cell line assessed by MTT assay after 96 hr of compound exposure (resistance level),NCI-H460,,
CHEMBL2068449,,C14H20N2O5Pt,10100.0,5.0,Growth inhibitory activity against COLO-320-DM human colon cancer cell line,COLO 320DM,,
CHEMBL2068449,,C14H20N2O5Pt,2970.0,5.53,Growth inhibitory activity against SK-Hep1 human liver cancer cell line,SK-HEP1,,
CHEMBL2068449,,C14H20N2O5Pt,36530.0,4.44,Growth inhibitory activity against MDA-MB-231 human breast cancer cell line,MDA-MB-231,,
CHEMBL2068449,,C14H20N2O5Pt,3140.0,5.5,Growth inhibitory activity against NCI-H460 human lung cancer cell line,NCI-H460,,
CHEMBL2068449,,C14H20N2O5Pt,41930.0,4.38,Growth inhibitory activity against SK-OV-3 human ovarian cancer cell line,SK-OV-3,,
CHEMBL2068449,,C14H20N2O5Pt,150.0,6.82,Growth inhibitory activity against NTERA-S-cl-D1 human testicular cancer cell line,NTERA-2-cl-D1,,
CHEMBL2068449,,C14H20N2O5Pt,1230.0,5.91,Cytotoxicity against NCI-H460-sensitive Human Nonsmall Cell Lung Cancer cell line assessed by MTT assay after 96 hr of compound exposure,NCI-H460,,
CHEMBL2068449,,C14H20N2O5Pt,1400.0,5.85,Cytotoxicity against NCI-H460-resistant Human Nonsmall Cell Lung Cancer cell line assessed by MTT assay after 96 hr of compound exposure (resistance level),NCI-H460,,
CHEMBL11359,,H6Cl2N2Pt+2,670.0,6.17,Cytotoxicity against human small-cell lung cancer (SCLC),N592,,
CHEMBL11359,,H6Cl2N2Pt+2,22000.0,4.66,Inhibitory activity against JURKAT cell line,Jurkat,,
CHEMBL11359,,H6Cl2N2Pt+2,7000.0,5.16,Inhibitory activity against HeLa cell line,HeLa,,
CHEMBL11359,,H6Cl2N2Pt+2,10500.0,4.98,Inhibition of cell growth in human ovarian carcinoma cell line(SKOV-3) using the 96 hour continuous exposure sulforhodamine B (SRB) growth delay assay,SK-OV-3,,
CHEMBL11359,,H6Cl2N2Pt+2,265.0,6.58,Inhibition of cell growth in human ovarian carcinoma cell line (A2780) using the 96 hour continuous exposure sulforhodamine B (SRB) growth delay assay,A2780,,
CHEMBL11359,,H6Cl2N2Pt+2,8400.0,5.08,"Inhibition of cell growth in human ovarian carcinoma cell line (A2780cisR,cisplatin-resistant)using the 96 hour continuous exposure sulforhodamine B (SRB) growth delay assay",A2780,,
CHEMBL11359,,H6Cl2N2Pt+2,180.0,6.75,Inhibition of cell growth in human ovarian carcinoma cell line (CH1) was determined using the 96 hour continuous exposure sulforhodamine B (SRB) growth delay assay.,CH1,,
CHEMBL11359,,H6Cl2N2Pt+2,1100.0,5.96,"Inhibition of cell growth in human ovarian carcinoma cell line (CH1-cis-R,cisplatin resistant) using the 96 hour exposure sulforhodamine B (SRB) growth delay assay",CH1,,
CHEMBL1386,,H6Cl2N2Pt,200000.0,,cytotoxicity against A2780 cells incubated for 24 hr in MTT assay.,A2780,,
CHEMBL1386,,H6Cl2N2Pt,200000.0,,cytotoxicity against A2780cisR cells incubated for 24 hr in MTT assay,A2780cisR,,
CHEMBL1386,,H6Cl2N2Pt,200000.0,,cytotoxicity against CH1 cells incubated for 24 hr in MTT assay.,CH1,,
CHEMBL1386,,H6Cl2N2Pt,200000.0,,cytotoxicity against CH1cisR cells incubated for 24 hr in MTT assay,CH1,,
CHEMBL1386,,H6Cl2N2Pt,200000.0,,cytotoxicity against 41M cells incubated for 24 hr in MTT assay.,41M,,
CHEMBL1386,,H6Cl2N2Pt,200000.0,,cytotoxicity against 41McisR cells incubated for 24 hr in MTT assay,41M,,
CHEMBL3142754,,C42H50Cl2N5O14PPt,35000.0,4.46,Growth and colony formation inhibition of CEM leukemia cancer cell lines,CCRF-CEM,,
CHEMBL3142754,,C42H50Cl2N5O14PPt,4000.0,5.4,Growth and colony formation inhibition of A2780 ovarian cancer cell lines,A2780,,
CHEMBL3142754,,C42H50Cl2N5O14PPt,24000.0,4.62,Growth and colony formation inhibition of SKOV-3 ovarian cancer cell lines,SK-OV-3,,
CHEMBL2068310,,C8H20Cl4N2O2Pt,10000.0,5.0,Growth and colony formation inhibition of CEM leukemia cancer cell lines,CCRF-CEM,,
CHEMBL2068310,,C8H20Cl4N2O2Pt,2200.0,5.66,Growth and colony formation inhibition of A2780 ovarian cancer cell lines,A2780,,
CHEMBL2068310,,C8H20Cl4N2O2Pt,4000.0,5.4,Growth and colony formation inhibition of SKOV-3 ovarian cancer cell lines,SK-OV-3,,
CHEMBL11359,,H6Cl2N2Pt+2,2200.0,5.66,cytotoxicity against A2780 cells incubated for 24 hr in MTT assay.,A2780,,
CHEMBL11359,,H6Cl2N2Pt+2,38000.0,4.42,cytotoxicity against A2780cisR cells incubated for 24 hr in MTT assay,A2780cisR,,
CHEMBL11359,,H6Cl2N2Pt+2,6000.0,5.22,cytotoxicity against CH1 cells incubated for 24 hr in MTT assay.,CH1,,
CHEMBL11359,,H6Cl2N2Pt+2,23000.0,4.64,cytotoxicity against CH1cisR cells incubated for 24 hr in MTT assay,CH1,,
CHEMBL11359,,H6Cl2N2Pt+2,26000.0,4.58,cytotoxicity against 41M cells incubated for 24 hr in MTT assay.,41M,,
CHEMBL11359,,H6Cl2N2Pt+2,107000.0,,cytotoxicity against 41McisR cells incubated for 24 hr in MTT assay,41M,,
CHEMBL11359,,H6Cl2N2Pt+2,1000.0,,Growth and colony formation inhibition of CEM leukemia cancer cell lines,CCRF-CEM,,
CHEMBL11359,,H6Cl2N2Pt+2,600.0,6.22,Growth and colony formation inhibition of A2780 ovarian cancer cell lines,A2780,,
CHEMBL11359,,H6Cl2N2Pt+2,500.0,6.3,Growth and colony formation inhibition of SKOV-3 ovarian cancer cell lines,SK-OV-3,,
CHEMBL2068319,,C4H12Cl2N2OPt,6000.0,5.22,Growth and colony formation inhibition of SKOV-3 ovarian cancer cell lines,SK-OV-3,,
CHEMBL2068496,,C9H19Cl2N3Pt,18000.0,4.75,cytotoxicity against A2780 cells incubated for 24 hr in MTT assay.,A2780,,
CHEMBL2068496,,C9H19Cl2N3Pt,64000.0,4.19,cytotoxicity against A2780cisR cells incubated for 24 hr in MTT assay,A2780cisR,,
CHEMBL2068496,,C9H19Cl2N3Pt,22000.0,4.66,cytotoxicity against CH1 cells incubated for 24 hr in MTT assay.,CH1,,
CHEMBL2068496,,C9H19Cl2N3Pt,85000.0,4.07,cytotoxicity against CH1cisR cells incubated for 24 hr in MTT assay,CH1,,
CHEMBL2068496,,C9H19Cl2N3Pt,37000.0,4.43,cytotoxicity against 41M cells incubated for 24 hr in MTT assay.,41M,,
CHEMBL2068496,,C9H19Cl2N3Pt,118000.0,,cytotoxicity against 41McisR cells incubated for 24 hr in MTT assay,41M,,
CHEMBL2068454,,C6H16Cl2N2O2Pt,20000.0,4.7,Growth and colony formation inhibition of SKOV-3 ovarian cancer cell lines,SK-OV-3,,
CHEMBL1351,,C6H12N2O4Pt,28500.0,4.54,Growth and colony formation inhibition of SKOV-3 ovarian cancer cell lines,SK-OV-3,,
CHEMBL2068313,,C4H12Cl4N2OPt,9000.0,5.05,Growth and colony formation inhibition of SKOV-3 ovarian cancer cell lines,SK-OV-3,,
CHEMBL2068453,,C4H10Cl2N2OPt,30000.0,4.52,Growth and colony formation inhibition of SKOV-3 ovarian cancer cell lines,SK-OV-3,,
CHEMBL2068376,,C8H19Cl2N3Pt,16000.0,4.8,cytotoxicity against A2780 cells incubated for 24 hr in MTT assay.,A2780,,
CHEMBL2068376,,C8H19Cl2N3Pt,28000.0,4.55,cytotoxicity against A2780cisR cells incubated for 24 hr in MTT assay,A2780cisR,,
CHEMBL2068376,,C8H19Cl2N3Pt,17000.0,4.77,cytotoxicity against CH1 cells incubated for 24 hr in MTT assay.,CH1,,
CHEMBL2068376,,C8H19Cl2N3Pt,19000.0,4.72,cytotoxicity against CH1cisR cells incubated for 24 hr in MTT assay,CH1,,
CHEMBL2068376,,C8H19Cl2N3Pt,32000.0,4.5,cytotoxicity against 41M cells incubated for 24 hr in MTT assay.,41M,,
CHEMBL2068376,,C8H19Cl2N3Pt,48000.0,4.32,cytotoxicity against 41McisR cells incubated for 24 hr in MTT assay,41M,,
CHEMBL2068503,,C4H11Cl2N3Pt,5000.0,5.3,cytotoxicity against A2780 cells incubated for 24 hr in MTT assay.,A2780,,
CHEMBL2068503,,C4H11Cl2N3Pt,44000.0,4.36,cytotoxicity against A2780cisR cells incubated for 24 hr in MTT assay,A2780cisR,,
CHEMBL2068503,,C4H11Cl2N3Pt,12000.0,4.92,cytotoxicity against CH1 cells incubated for 24 hr in MTT assay.,CH1,,
CHEMBL2068503,,C4H11Cl2N3Pt,34000.0,4.47,cytotoxicity against CH1cisR cells incubated for 24 hr in MTT assay,CH1,,
CHEMBL2068503,,C4H11Cl2N3Pt,52000.0,4.28,cytotoxicity against 41M cells incubated for 24 hr in MTT assay.,41M,,
CHEMBL2068503,,C4H11Cl2N3Pt,155000.0,,cytotoxicity against 41McisR cells incubated for 24 hr in MTT assay,41M,,
CHEMBL148800,,C10H16Cl2N3Pt+,10000.0,5.0,cytotoxicity against A2780 cells incubated for 24 hr in MTT assay.,A2780,,
CHEMBL148800,,C10H16Cl2N3Pt+,24000.0,4.62,cytotoxicity against A2780cisR cells incubated for 24 hr in MTT assay,A2780cisR,,
CHEMBL148800,,C10H16Cl2N3Pt+,16000.0,4.8,cytotoxicity against CH1 cells incubated for 24 hr in MTT assay.,CH1,,
CHEMBL148800,,C10H16Cl2N3Pt+,42000.0,4.38,cytotoxicity against CH1cisR cells incubated for 24 hr in MTT assay,CH1,,
CHEMBL148800,,C10H16Cl2N3Pt+,45000.0,4.35,cytotoxicity against 41M cells incubated for 24 hr in MTT assay.,41M,,
CHEMBL148800,,C10H16Cl2N3Pt+,147000.0,,cytotoxicity against 41McisR cells incubated for 24 hr in MTT assay,41M,,
CHEMBL2068316,,C6H16Cl4N2O2Pt,8000.0,5.1,Growth and colony formation inhibition of CEM leukemia cancer cell lines,CCRF-CEM,,
CHEMBL2068316,,C6H16Cl4N2O2Pt,1600.0,5.8,Growth and colony formation inhibition of A2780 ovarian cancer cell lines,A2780,,
CHEMBL2068316,,C6H16Cl4N2O2Pt,10000.0,5.0,Growth and colony formation inhibition of SKOV-3 ovarian cancer cell lines,SK-OV-3,,
CHEMBL3142753,,C17H28Cl2N5O10PPt,100000.0,4.0,Growth and colony formation inhibition of CEM leukemia cancer cell lines,CCRF-CEM,,
CHEMBL3142753,,C17H28Cl2N5O10PPt,16000.0,4.8,Growth and colony formation inhibition of A2780 ovarian cancer cell lines,A2780,,
CHEMBL3142753,,C17H28Cl2N5O10PPt,75000.0,4.12,Growth and colony formation inhibition of SKOV-3 ovarian cancer cell lines,SK-OV-3,,
CHEMBL11359,,H6Cl2N2Pt+2,3700.0,5.43,Growth inhibition against human RT-4 cell lines,RT-4,,
CHEMBL11359,,H6Cl2N2Pt+2,2140.0,5.67,Growth inhibition against human RT-112 cell lines,RT-112,,
CHEMBL11359,,H6Cl2N2Pt+2,310.0,6.51,Growth inhibition against human 5637 cell lines,5637,,
CHEMBL11359,,H6Cl2N2Pt+2,1490.0,5.83,Growth inhibition against human KYSE-70 cell lines,KYSE-70 cell line,,
CHEMBL11359,,H6Cl2N2Pt+2,880.0,6.06,Growth inhibition against human KYSE-150 cell lines,KYSE-150 cell line,,
CHEMBL11359,,H6Cl2N2Pt+2,5070.0,5.29,Growth inhibition against human KYSE-520 cell lines,KYSE-520 cell line,,
CHEMBL11359,,H6Cl2N2Pt+2,6030.0,5.22,Compound was tested for growth inhibition against human YAPC cell lines,YAPC,,
CHEMBL11359,,H6Cl2N2Pt+2,1390.0,5.86,Growth inhibition against human DAN-G cell lines,DAN-G,,
CHEMBL11359,,H6Cl2N2Pt+2,200.0,6.7,Growth inhibition against human SISO cell lines,SISO,,
CHEMBL11359,,H6Cl2N2Pt+2,1630.0,5.79,Growth inhibition against human LCLC-103H cell lines,LCLC-103H cell line,,
CHEMBL11359,,H6Cl2N2Pt+2,740.0,6.13,Growth inhibition against human MCF-7 cell lines,MCF7,,
CHEMBL11359,,H6Cl2N2Pt+2,3040.0,5.52,Compound was tested for growth inhibition against human h-TERTRPE1 cell lines,TERT-RPE1,,
CHEMBL2068503,,C4H11Cl2N3Pt,10000.0,5.0,cytotoxicity against A2780 cells incubated for 24 hr in MTT assay.,A2780,,
CHEMBL2068503,,C4H11Cl2N3Pt,25000.0,4.6,cytotoxicity against A2780cisR cells incubated for 24 hr in MTT assay,A2780cisR,,
CHEMBL2068503,,C4H11Cl2N3Pt,28000.0,4.55,cytotoxicity against CH1 cells incubated for 24 hr in MTT assay.,CH1,,
CHEMBL2068503,,C4H11Cl2N3Pt,56000.0,4.25,cytotoxicity against CH1cisR cells incubated for 24 hr in MTT assay,CH1,,
CHEMBL2068503,,C4H11Cl2N3Pt,46000.0,4.34,cytotoxicity against 41M cells incubated for 24 hr in MTT assay.,41M,,
CHEMBL2068503,,C4H11Cl2N3Pt,112000.0,,cytotoxicity against 41McisR cells incubated for 24 hr in MTT assay,41M,,
CHEMBL2068452,,C8H20Cl2N2O2Pt,23000.0,4.64,Growth and colony formation inhibition of SKOV-3 ovarian cancer cell lines,SK-OV-3,,
CHEMBL2068461,,C4H10Cl4N2OPt,26000.0,4.58,Growth and colony formation inhibition of SKOV-3 ovarian cancer cell lines,SK-OV-3,,
CHEMBL2068458,,C10H20Cl2N2O6Pt,22000.0,4.66,Growth and colony formation inhibition of SKOV-3 ovarian cancer cell lines,SK-OV-3,,
CHEMBL2068315,,C2H8Cl4N2OPt,10000.0,5.0,Growth and colony formation inhibition of SKOV-3 ovarian cancer cell lines,SK-OV-3,,
CHEMBL440148,,C13H29Cl2N4O2PPt,125000.0,,Growth and colony formation inhibition of A2780 ovarian cancer cell lines,A2780,,
CHEMBL440148,,C13H29Cl2N4O2PPt,200000.0,,Growth and colony formation inhibition of SKOV-3 ovarian cancer cell lines,SK-OV-3,,
CHEMBL2068372,,C7H17Cl2N3Pt,14000.0,4.85,cytotoxicity against A2780 cells incubated for 24 hr in MTT assay.,A2780,,
CHEMBL2068372,,C7H17Cl2N3Pt,30000.0,4.52,cytotoxicity against A2780cisR cells incubated for 24 hr in MTT assay,A2780cisR,,
CHEMBL2068372,,C7H17Cl2N3Pt,10000.0,5.0,cytotoxicity against CH1 cells incubated for 24 hr in MTT assay.,CH1,,
CHEMBL2068372,,C7H17Cl2N3Pt,50000.0,4.3,cytotoxicity against CH1cisR cells incubated for 24 hr in MTT assay,CH1,,
CHEMBL2068372,,C7H17Cl2N3Pt,38000.0,4.42,cytotoxicity against 41M cells incubated for 24 hr in MTT assay.,41M,,
CHEMBL2068372,,C7H17Cl2N3Pt,122000.0,,cytotoxicity against 41McisR cells incubated for 24 hr in MTT assay,41M,,
CHEMBL2068314,,C8H16Cl2N2O6Pt,10000.0,5.0,Growth and colony formation inhibition of SKOV-3 ovarian cancer cell lines,SK-OV-3,,
CHEMBL2068317,,C2H8Cl2N2OPt,13000.0,4.89,Growth and colony formation inhibition of SKOV-3 ovarian cancer cell lines,SK-OV-3,,
CHEMBL2068480,,C8H18Cl2N4Pt,17000.0,4.77,cytotoxicity against A2780 cells incubated for 24 hr in MTT assay.,A2780,,
