"Compound ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"Np Likeness Score";"Molecular Formula";"Smiles";"Inchi Key";"Inchi";"Withdrawn Flag";"Orphan";"Records Key";"Records Name"
"CHEMBL323516";"trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-bis-(ethylcarbamato)platinium (IV)";"";"Small molecule";"";"556.35";"6";"14";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C12H26Cl2N4O4Pt";"";"";"";"False";"-1";"['41']";"['trans-a-ammine-b,d-dichloro-f-(cyclohexylamine)-c,e-bis-(ethylcarbamato)platinium (IV)']"
"CHEMBL104893";"AMMONIO(DICHLORO)PLATINUM(CYCLOHEXYL)AMMONIUM";"";"Small molecule";"";"380.18";"8";"23";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C6H14Cl2N2Pt";"";"";"";"False";"-1";"['(cis)-1', 'Platinum compound', '1']";"['cis-amminedichloro-e-(cyclohexylamine)-platinium (IV)', 'ammonio(dichloro)platinum(cyclohexyl)ammonium', 'trans-amminedichloro-e-(cyclohexylamine)-platinium (IV)']"
"CHEMBL1169454";"Platinum cyclobutane-1,1-dicarboxylic acid-bis-(naphthalimide) complex";"";"Small molecule";"";"841.73";"3";"6";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C36H30N4O8Pt+2";"";"";"";"False";"-1";"['2']";"['Platinum cyclobutane-1,1-dicarboxylic acid-bis-(naphthalimide) complex']"
"CHEMBL611440";"Gold complex of (Bis(diphenylphosphino)alkane analogue)";"";"Small molecule";"";"1234.84";"3";"3";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C34H36Au3Cl3P3";"";"";"";"False";"-1";"['62a']";"['Gold complex of (Bis(diphenylphosphino)alkane analogue)']"
"CHEMBL447841";"2,6-bis(3-methylbutoxy)-1,3,5,7-tetrathia-4-platinaspiro[3.3]heptane";"";"Small molecule";"";"523.67";"6";"12";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C12H24O2PtS4";"";"";"";"False";"-1";"['12']";"['2,6-bis(3-methylbutoxy)-1,3,5,7-tetrathia-4-platinaspiro[3.3]heptane']"
"CHEMBL266471";"(2,2':6',2''-terpyridine)platinum (II) complex";"";"Small molecule";"";"850.08";"6";"25";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C27H21B2BrF8N4Pt+4";"";"";"";"False";"-1";"['4 (4-Br-C6H4)', 'in table II; pg.no.1001']";"["4'-substituted 2,2':6,2''-Terpyridineplatinum (II) Picoline complexes", "(2,2':6',2''-terpyridine)platinum (II) complex"]"
"CHEMBL12351";"Ruthenium-Chloroquine Complex[RuCl2(CQ)]2";"";"Small molecule";"";"983.71";"2";"3";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C36H52Cl6N6Ru2+4";"";"";"";"False";"-1";"['CQ-Complex-2']";"['Ruthenium-Chloroquine Complex[RuCl2(CQ)]2']"
"CHEMBL611194";"Metallocenium salt";"";"Small molecule";"";"411.68";"9";"11";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C10H10ClF6PRu";"";"";"";"False";"-1";"['6']";"['Metallocenium salt']"
"CHEMBL302518";"Auranofin analogue";"";"Small molecule";"";"511.35";"4";"5";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C12H27AuO5PS-2";"";"";"";"False";"-1";"['2']";"['Auranofin analogue']"
"CHEMBL274577";"Cyclopentadienyltricarbonylrheniumbenzazepine (2`-CPTR-SCH-23390)";"";"Small molecule";"";"652.14";"4";"4";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C26H24ClNO5Re";"";"";"";"False";"-1";"['10a']";"['Cyclopentadienyltricarbonylrheniumbenzazepine (2`-CPTR-SCH-23390)']"
"CHEMBL311392";"1-ferrocenyl-3-(phenyl)-2-propen-1-one";"";"Small molecule";"";"316.18";"1";"1";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C19H16FeO";"";"";"";"False";"-1";"['13']";"['1-ferrocenyl-3-(phenyl)-2-propen-1-one']"
"CHEMBL149255";"Oxalato[2-(dimethylamino)methyl]phenyl-C,N]gold-(III) Hemihydrate";"";"Small molecule";"";"419.19";"11";"16";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C11H12AuNO4+";"";"";"";"False";"-1";"['4']";"['Oxalato[2-(dimethylamino)methyl]phenyl-C,N]gold-(III) Hemihydrate']"
"CHEMBL71430";"Gold complex of (Bis(diphenylphosphino)alkane analogue)";"";"Small molecule";"";"983.37";"2";"2";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C30H32Au2Cl2O4P2";"";"";"";"False";"-1";"['16a']";"['Gold complex of (Bis(diphenylphosphino)alkane analogue)']"
"CHEMBL305847";"1-ferrocenyl-3-(2-Chlorophenyl)-2-propen-1-one";"";"Small molecule";"";"350.63";"1";"1";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C19H15ClFeO";"";"";"";"False";"-1";"['23']";"['1-ferrocenyl-3-(2-Chlorophenyl)-2-propen-1-one']"
"CHEMBL69031";"Fe (II) complex";"";"Small molecule";"";"469.37";"2";"2";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"C16H23FeN5O4S2+2";"";"";"";"False";"-1";"['2Fe(II)']";"['N-[(1E)-1-(6-methylpyridazin-3-yl)ethylidene]-3-azabicyclo[3.2.2]nonane-3-carbohydrazonothioic acid.sulfate Fe(II)complex']"
