chembl_id,chemical_formula,pIC50,count_C,count_H,count_N,count_O,count_S,count_Cl,count_Br,count_F,count_I,metal_mass,metal_ionic_radius,metal_electronegativity,expected_coordination_num,is_Ruthenium,is_Rhodium,is_Platinum,unsaturation_index,N_C_ratio,O_C_ratio,calculated_molecular_weight
CHEMBL1514450,C38H32Au2N8P2-8,5.75,38,32,8,0,0,0,0,0,0,196.967,137,2.54,2,0,0,0,27.0,0.2105263157894736,0.0,994.664
CHEMBL1514553,C18H32Co2N8O8-12,5.4,18,32,8,8,0,0,0,0,0,58.933,65,1.88,6,0,0,0,7.0,0.4444444444444444,0.4444444444444444,606.3679999999999
CHEMBL1514796,C12H14N4O4Pt-6,5.15,12,14,4,4,0,0,0,0,0,195.084,80,2.28,4,0,0,1,8.0,0.3333333333333333,0.3333333333333333,473.352
CHEMBL1514839,C11H19FeN7O4-7,5.5,11,19,7,4,0,0,0,0,0,55.845,61,1.83,6,0,0,0,6.0,0.6363636363636364,0.3636363636363636,369.1629999999999
CHEMBL1516969,C7H8FeN4O4S2-6,5.4,7,8,4,4,2,0,0,0,0,55.845,61,1.83,6,0,0,0,6.0,0.5714285714285714,0.5714285714285714,332.13
CHEMBL1528731,C10H10Cl4N10Pt-2,5.4,10,10,10,0,0,4,0,0,0,195.084,80,2.28,4,0,0,1,11.0,1.0,0.0,607.144
CHEMBL1565619,C6Fe2N6,4.55,6,0,6,0,0,0,0,0,0,55.845,61,1.83,6,0,0,0,10.0,1.0,0.0,267.798
CHEMBL1570031,C38H32N2NiO4-6,5.75,38,32,2,4,0,0,0,0,0,58.693,69,1.91,4,0,0,0,24.0,0.0526315789473684,0.1052631578947368,639.377
CHEMBL157431,C20H32BF4Fe,4.43,20,32,0,0,0,0,0,4,0,55.845,61,1.83,6,0,0,0,5.0,0.0,0.0,404.31299999999993
CHEMBL1574606,C10H10Ni,4.3,10,10,0,0,0,0,0,0,0,58.693,69,1.91,4,0,0,0,6.0,0.0,0.0,188.883
CHEMBL1574964,C10H7Cl2N8PdS2-2,5.3,10,7,8,0,2,2,0,0,0,106.42,86,2.2,4,0,0,0,11.5,0.8,0.0,480.662
CHEMBL1589990,C16H24Cl2N5O4Rh-8,6.0,16,24,5,4,0,2,0,0,0,102.906,65,2.28,6,0,1,0,7.5,0.3125,0.25,524.2049999999999
CHEMBL1593655,C17H27CoN5O5-7,5.5,17,27,5,5,0,0,0,0,0,58.933,65,1.88,6,0,0,0,7.0,0.2941176470588235,0.2941176470588235,440.366
CHEMBL1604754,C12H20N3O8PPt-2,5.6,12,20,3,8,0,0,0,0,0,195.084,80,2.28,4,0,0,1,4.5,0.25,0.6666666666666666,529.389
CHEMBL1627577,C35H52Cl2N2O3Pt+2,5.33,35,52,2,3,0,2,0,0,0,195.084,80,2.28,4,0,0,1,11.0,0.0571428571428571,0.0857142857142857,814.7959999999999
CHEMBL1627579,C33H48Cl2N2O3Pt+2,5.07,33,48,2,3,0,2,0,0,0,195.084,80,2.28,4,0,0,1,11.0,0.0606060606060606,0.0909090909090909,786.742
CHEMBL1627580,C31H44Cl2N2O3Pt+2,5.32,31,44,2,3,0,2,0,0,0,195.084,80,2.28,4,0,0,1,11.0,0.064516129032258,0.0967741935483871,758.6879999999999
CHEMBL1627581,C28H38Cl2N2O3Pt+2,4.5,28,38,2,3,0,2,0,0,0,195.084,80,2.28,4,0,0,1,11.0,0.0714285714285714,0.1071428571428571,716.607
CHEMBL1627729,C33H50Cl2N2O3Pt,4.79,33,50,2,3,0,2,0,0,0,195.084,80,2.28,4,0,0,1,10.0,0.0606060606060606,0.0909090909090909,788.7579999999999
CHEMBL1627731,C35H54Cl2N2O3Pt,4.73,35,54,2,3,0,2,0,0,0,195.084,80,2.28,4,0,0,1,10.0,0.0571428571428571,0.0857142857142857,816.812
CHEMBL1627733,C30H44Cl2N2O3Pt,4.97,30,44,2,3,0,2,0,0,0,195.084,80,2.28,4,0,0,1,10.0,0.0666666666666666,0.1,746.6769999999999
CHEMBL1627734,C34H52Cl2N2O3Pt,5.64,34,52,2,3,0,2,0,0,0,195.084,80,2.28,4,0,0,1,10.0,0.0588235294117647,0.088235294117647,802.785
CHEMBL1627737,C32H48Cl2N2O3Pt,5.48,32,48,2,3,0,2,0,0,0,195.084,80,2.28,4,0,0,1,10.0,0.0625,0.09375,774.7309999999999
CHEMBL1627738,C31H46Cl2N2O3Pt,4.7,31,46,2,3,0,2,0,0,0,195.084,80,2.28,4,0,0,1,10.0,0.064516129032258,0.0967741935483871,760.704
CHEMBL1627740,C29H42Cl2N2O3Pt,4.5,29,42,2,3,0,2,0,0,0,195.084,80,2.28,4,0,0,1,10.0,0.0689655172413793,0.1034482758620689,732.65
CHEMBL1627945,C30H42Cl2N2O3Pt+2,4.73,30,42,2,3,0,2,0,0,0,195.084,80,2.28,4,0,0,1,11.0,0.0666666666666666,0.1,744.661
CHEMBL1627949,C29H40Cl2N2O3Pt+2,4.64,29,40,2,3,0,2,0,0,0,195.084,80,2.28,4,0,0,1,11.0,0.0689655172413793,0.1034482758620689,730.634
CHEMBL1627993,C36H56Cl2N2O3Pt,5.28,36,56,2,3,0,2,0,0,0,195.084,80,2.28,4,0,0,1,10.0,0.0555555555555555,0.0833333333333333,830.8389999999999
CHEMBL1628045,C34H50Cl2N2O3Pt+2,4.9,34,50,2,3,0,2,0,0,0,195.084,80,2.28,4,0,0,1,11.0,0.0588235294117647,0.088235294117647,800.7689999999999
CHEMBL1628046,C32H46Cl2N2O3Pt+2,5.04,32,46,2,3,0,2,0,0,0,195.084,80,2.28,4,0,0,1,11.0,0.0625,0.09375,772.7149999999999
CHEMBL164788,C14H24Cl2N2O4Pt,5.52,14,24,2,4,0,2,0,0,0,195.084,80,2.28,4,0,0,1,4.0,0.1428571428571428,0.2857142857142857,550.34
CHEMBL171079,C6H12Cl2N2O2Pt,6.54,6,12,2,2,0,2,0,0,0,195.084,80,2.28,4,0,0,1,2.0,0.3333333333333333,0.3333333333333333,410.158
CHEMBL171155,C9H14N2O6Pt,6.14,9,14,2,6,0,0,0,0,0,195.084,80,2.28,4,0,0,1,4.0,0.2222222222222222,0.6666666666666666,441.303
CHEMBL171156,C12H18N2O6Pt,5.62,12,18,2,6,0,0,0,0,0,195.084,80,2.28,4,0,0,1,5.0,0.1666666666666666,0.5,481.36800000000005
CHEMBL174577,C12H22ClF6N2PRu,5.05,12,22,2,0,0,1,0,6,0,101.07,74,2.2,6,1,0,0,3.0,0.1666666666666666,0.0,444.83
CHEMBL174682,C12H22F6IN2PRu,5.1,12,22,2,0,0,0,0,6,1,101.07,74,2.2,6,1,0,0,3.0,0.1666666666666666,0.0,536.28
CHEMBL174841,C14H18ClF6N2PRu,5.22,14,18,2,0,0,1,0,6,0,101.07,74,2.2,6,1,0,0,7.0,0.1428571428571428,0.0,464.82
CHEMBL175093,C8H14ClF6N2PRu,4.77,8,14,2,0,0,1,0,6,0,101.07,74,2.2,6,1,0,0,3.0,0.25,0.0,388.722
CHEMBL175505,C6H12Cl2N2Pt,5.99,6,12,2,0,0,2,0,0,0,195.084,80,2.28,4,0,0,1,2.0,0.3333333333333333,0.0,378.16
CHEMBL175535,C9H18N2O4Pt+2,5.64,9,18,2,4,0,0,0,0,0,195.084,80,2.28,4,0,0,1,2.0,0.2222222222222222,0.4444444444444444,413.337
CHEMBL175601,C16H19Co2FO8,5.15,16,19,0,8,0,0,0,1,0,58.933,65,1.88,6,0,0,0,7.5,0.0,0.5,476.184
CHEMBL175635,C9H16Co2O7,5.16,9,16,0,7,0,0,0,0,0,58.933,65,1.88,6,0,0,0,2.0,0.0,0.7777777777777778,354.08599999999996
